label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,avanues-completion-report,/Volumes/M-Drive/Coding/NewAvanues/Docs/Avanues/magiccode/Avanues-COMPLETION_REPORT-51611-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/Avanues/Avanues-COMPLETION-REPORT-50311-V1.md,OUTSIDE_B,skipped_bucket_filter,Outside Docs/VoiceOS scope for wave5d bucket-B run.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/migration/changelogs/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,OUTSIDE_B,skipped_bucket_filter,Outside Docs/VoiceOS scope for wave5d bucket-B run.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/Avanues/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,OUTSIDE_B,skipped_bucket_filter,Outside Docs/VoiceOS scope for wave5d bucket-B run.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/coding/project-management/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/modules/device-manager/changelog/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/modules/LearnApp/changelog/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/CHANGELOG.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/CHANGELOG.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,avanues-session-complete-summary,/Volumes/M-Drive/Coding/NewAvanues/Docs/Avanues/Avanues-SESSION-COMPLETE-SUMMARY-51411-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/Avanues/Avanues-SESSION-COMPLETE-SUMMARY-51401-V1.md,OUTSIDE_B,skipped_bucket_filter,Outside Docs/VoiceOS scope for wave5d bucket-B run.
2026-02-10-wave5d-recovered,todo,/Volumes/M-Drive/Coding/NewAvanues/Docs/Avanues/TODO.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/TODO.md,OUTSIDE_B,skipped_bucket_filter,Outside Docs/VoiceOS scope for wave5d bucket-B run.
2026-02-10-wave5d-recovered,todo,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/old-structure/Planning/Architecture/Apps/SpeechRecognition/TODO.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/TODO.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,todo,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/old-structure/Planning/Architecture/Apps/VoiceAccessibility/TODO.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/TODO.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,todo,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/old-structure/Planning/Architecture/Apps/VoiceUI/TODO.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/TODO.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,todo,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/old-structure/Planning/Architecture/Libraries/DeviceMGR/TODO.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/AVA/TODO.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
